scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Spilornis cheela,Crested Serpent-Eagle,CSE,CSEA,Accipitriformes,,RF,GRD,Accipitridae,AVIBASE-3EEEE78A,18,10,7,1,15,45.6,30.1,14.4,20.8,82.2,373.7,112.6,261.1,30.1,237.4,597.7,1,Carnivore,Vertivore,Insessorial
Leptocoma minima,Crimson-backed Sunbird,CBS,CBSU,Passeriformes,,RF,CAN,Nectariniidae,AVIBASE-B5F1B635,5,2,3,0,4,15.1,10.3,2.6,2.2,13,44.3,6.2,39.2,13.6,28.6,4.9,1,Omnivore,Nectarivore,Insessorial
Dumetia atriceps,Dark-fronted Babbler,DFB,DFBA,Passeriformes,,RF,UND,Timaliidae,AVIBASE-B517FCCC,5,2,3,0,4,14.5,7.8,3.2,4,21.1,58.6,4.2,54.5,7.2,47.8,16.3,1,Carnivore,Invertivore,Generalist
Upupa epops,Eurasian Hoopoe,EH,EUHO,Bucerotiformes,,OC,GRD,Upupidae,AVIBASE-FA2F9125,14,7,7,0,12,55.8,46.9,5.5,6.3,21.1,142.3,30.5,111.5,21.4,96.9,66.9,3,Carnivore,Invertivore,Terrestrial
Rubigula gularis,Flame-throated Bulbul,FTB,FTBU,Passeriformes,,RF,MID,Pycnonotidae,AVIBASE-442951D4,4,2,2,0,4,14.1,7.3,3.6,3.8,14.4,73.8,8.8,65,11.9,78,29.3,1,Herbivore,Frugivore,Insessorial
Dendronanthus indicus,Forest Wagtail,FW,FOWA,Passeriformes,,RF,GRD,Motacillidae,AVIBASE-8E872FAA,5,2,3,0,4,17.5,11.1,3.3,3.4,20.5,78.4,26.9,51.3,34.4,67,16.4,3,Carnivore,Invertivore,Terrestrial
Chloropsis aurifrons,Golden-fronted Leafbird,GFL,GFLE,Passeriformes,,RF,CAN,Chloropseidae,AVIBASE-5FEE1D85,5,2,3,0,4,23.7,14.9,4,5,19.8,94.4,18.7,75,20,69.8,32.3,1,Omnivore,Omnivore,Insessorial
Gallus sonneratii,Gray Junglefowl,GJ,GRJU,Galliformes,,RF,GRD,Phasianidae,AVIBASE-444C1F4D,5,2,3,0,3,36.4,14.9,9.2,9.1,67.5,218,45.2,168.3,21.2,219,840.8,1,Herbivore,Omnivore,Terrestrial
Motacilla cinerea,Gray Wagtail,GW,GREW,Passeriformes,eBird_code GRWA,RF,GRD,Motacillidae,AVIBASE-AE073221,17,8,9,0,4,17.4,10.8,3.1,3,18.2,82.8,28.6,54,34.6,94.4,17.2,2,Carnivore,Invertivore,Terrestrial
Cacomantis passerinus,Gray-bellied Cuckoo,GBC,GBCU,Cuculiformes,,OC,MID,Cuculidae,AVIBASE-84D36C76,5,3,2,0,4,20.7,12.8,5.4,5.4,17.4,113,37.2,75.5,32.9,103,25.3,1,Carnivore,Invertivore,Insessorial
Prinia hodgsonii,Gray-breasted Prinia,GBP,GBPR,Passeriformes,,OC,UND,Cisticolidae,AVIBASE-C29B19D7,5,2,3,0,4,11.9,6.2,2.2,2.3,18.1,45.5,4.8,40.5,10.7,46.6,6.4,1,Carnivore,Invertivore,Insessorial
Treron affinis,Gray-fronted Green-Pigeon,GFGP,GFGP,Columbiformes,,RF,CAN,Columbidae,AVIBASE-B30C3132,4,2,2,0,4,18.4,10,4.8,5.7,22.8,144,51.2,92.8,35.6,76.5,234,1,Herbivore,Frugivore,Insessorial
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,GHCF,GHCF,Passeriformes,,RF,MID,Stenostiridae,AVIBASE-D9B57BA4,17,10,5,2,16,11.7,5.9,3.8,2.5,12.2,58.4,11,47.2,18.9,48.4,7.7,1,Carnivore,Invertivore,Insessorial
