scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Pellorneum ruficeps,Puff-throated Babbler,PTB,PTBA,Passeriformes,,RF,GRD,Pellorneidae,AVIBASE-D6800997,5,2,3,0,4,17.2,9.7,3.1,4.2,25.8,69,6.2,65.1,8.6,66.4,26,1,Carnivore,Invertivore,Terrestrial
Cinnyris asiaticus,Purple Sunbird,PS,PUSU,Passeriformes,,OC,MID,Nectariniidae,AVIBASE-E9BCF764,15,2,13,0,13,20.3,15,3.7,3.2,14.6,55,11.3,43.7,20.6,35.1,8.1,1,Omnivore,Omnivore,Insessorial
Galloperdix spadicea,Red Spurfowl,RS,RESP,Galliformes,,RF,GRD,Phasianidae,AVIBASE-730665C1,5,2,3,0,4,21,10.3,5.8,6,41.8,144.8,27.3,116.2,19,117.8,359.1,1,Herbivore,Omnivore,Terrestrial
Pycnonotus cafer,Red-vented Bulbul,RVB,RVBU,Passeriformes,,OC,MID,Pycnonotidae,AVIBASE-95F3F185,12,4,8,0,12,19.4,10.5,4.8,5.3,21.3,94.5,15.7,78.8,16.5,86.2,42.9,1,Herbivore,Omnivore,Insessorial
Vanellus indicus,Red-wattled Lapwing,RWL,RWLA,Charadriiformes,,OC,AQU,Charadriidae,AVIBASE-4A30C572,5,2,3,0,4,34.7,19.1,5.3,5.4,74.2,208.8,90.6,119,43.2,104,181,1,Carnivore,Invertivore,Terrestrial
Pycnonotus jocosus,Red-whiskered Bulbul,RWB,RWBU,Passeriformes,,OC,MID,Pycnonotidae,AVIBASE-F9E37510,9,4,5,0,8,17.5,9.1,4.5,4.8,20.5,86.8,12.4,74.8,14.2,88.1,29.5,1,Herbivore,Omnivore,Insessorial
Columba livia,Rock Pigeon,RP,ROPI,Columbiformes,,OC,GRD,Columbidae,AVIBASE-BBA263C2,12,2,8,2,10,23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,1,Herbivore,Granivore,Terrestrial
Argya subrufa,Rufous Babbler,RB,RUBA,Passeriformes,,RF,UND,Leiotrichidae,AVIBASE-51AADA00,5,2,3,0,4,20.4,12.1,4.6,7.1,32.3,89.6,6.3,83.4,7,112.6,66.7,1,Carnivore,Invertivore,Generalist
Micropternus brachyurus,Rufous Woodpecker,RW,RUWO,Piciformes,,OC,MID,Picidae,AVIBASE-663A7CCA,9,2,4,3,8,28,19.4,7.5,7.9,20,118.2,20.9,96.2,17.9,66,85.9,1,Carnivore,Invertivore,Insessorial
Ficedula ruficauda,Rusty-tailed Flycatcher,RTF,RTFL,Passeriformes,,RF,CAN,Muscicapidae,AVIBASE-F6A82D7F,5,2,3,0,4,13.4,7.5,4,3.4,14.3,75.1,17.6,57.5,23.4,55.2,13.3,3,Carnivore,Invertivore,Insessorial
Accipiter badius,Shikra,SKR,SHIK,Accipitriformes,,OC,MID,Accipitridae,AVIBASE-1A0ECB6E,10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,3,Carnivore,Vertivore,Insessorial
Pericrocotus cinnamomeus,Small Minivet,SM,SMMI,Passeriformes,,OC,CAN,Campephagidae,AVIBASE-B5C1302B,20,4,16,0,14,13,7,4,3.5,15.3,67.2,17.4,49.7,25.9,68.3,8.6,2,Carnivore,Invertivore,Insessorial
Gracula indica,Southern Hill Myna,SHM,SHMY,Passeriformes,,RF,CAN,Sturnidae,AVIBASE-1A713EA2,10,8,2,0,10,29.8,18.1,7.7,8.8,31.7,138.9,33.6,105.3,24.2,64.7,192,1,Herbivore,Frugivore,Insessorial
Picumnus innominatus,Speckled Piculet,SP,SPPI,Piciformes,,RF,CAN,Picidae,AVIBASE-2458C837,5,2,3,0,4,12.1,9.2,4.5,4.6,12,53.4,5.7,47.1,10.7,29.4,10.2,1,Carnivore,Invertivore,Insessorial
Ketupa nipalensis,Spot-bellied Eagle-Owl,SBEO,SBEO,Strigiformes,,RF,CAN,Strigidae,AVIBASE-F5EBAA64,5,2,3,0,4,54.2,32.9,19.2,28.6,69,426,117.2,304.1,27.9,219.2,1396.4,1,Carnivore,Vertivore,Insessorial
Streptopelia chinensis,Spotted Dove,SD,SPDO,Columbiformes,,OC,GRD,Columbidae,AVIBASE-C8EF4F36,14,6,6,2,12,19.4,9.9,3.2,3.4,21.1,137.7,42.6,94.9,31,127.2,159,1,Herbivore,Granivore,Terrestrial
Hypsipetes ganeesa,Square-tailed Bulbul,STB,STBU,Passeriformes,,RF,CAN,Pycnonotidae,AVIBASE-4E74E6CC,4,1,3,0,4,26.9,16.1,5.2,5.8,17.9,116.2,27,89.2,23.3,99.5,51.8,3,Herbivore,Frugivore,Insessorial
Picus xanthopygaeus,Streak-throated Woodpecker,STW,STWO,Piciformes,,OC,MID,Picidae,AVIBASE-8B89B332,4,2,2,0,4,33,24.5,7.6,8.3,24.9,129.8,29,100.8,22.4,90.2,99.7,1,Carnivore,Invertivore,Generalist
Arundinax aedon,Thick-billed Warbler,TBW,TBWA,Passeriformes,eBird_code NA,OC,UND,Acrocephalidae,AVIBASE-213C212A,5,2,3,0,4,17.8,10.8,4.9,5.1,26,78.4,16.9,61.6,21.6,78.6,22.4,3,Carnivore,Invertivore,Insessorial
Cyornis tickelliae,Tickell's Blue Flycatcher,TBF,TBFL,Passeriformes,,OC,MID,Muscicapidae,AVIBASE-0EA33C18,5,2,3,0,4,14.5,8.6,4.2,3.5,17.3,72.2,13.6,58,19,61.6,16.2,1,Carnivore,Invertivore,Insessorial
Phylloscopus affinis,Tickell's Leaf Warbler,TLW,TLWA,Passeriformes,,RF,UND,Phylloscopidae,AVIBASE-0C37124A,4,2,2,0,4,9.6,6,2.8,2.1,18,59.8,8.9,50.9,14.8,43.2,7,3,Carnivore,Invertivore,Insessorial
Sitta frontalis,Velvet-fronted Nuthatch,VFN,VFNU,Passeriformes,,RF,MID,Sittidae,AVIBASE-7A91853C,5,2,3,0,4,14.3,9.2,3.6,3.4,16,72.7,16.7,55.7,23,38,16.5,1,Carnivore,Invertivore,Insessorial
Loriculus vernalis,Vernal Hanging-Parrot,VHP,VHPA,Psittaciformes,,RF,CAN,Psittaculidae,AVIBASE-A5FA764B,5,2,3,0,4,13.5,10.5,5.6,8.9,9.9,86.8,39,46.5,45.6,36.4,35.7,1,Herbivore,Frugivore,Insessorial
Pterorhinus delesserti,Wayanad Laughingthrush,WL,WALA,Passeriformes,,RF,GRD,Leiotrichidae,AVIBASE-96A465BE,5,3,2,0,4,29,18.1,6.2,7.2,37.3,106.7,5.8,101.3,5.4,104,78,1,Carnivore,Invertivore,Terrestrial
Cyornis pallidipes,White-bellied Blue Flycatcher,WBBF,WBBF,Passeriformes,,RF,UND,Muscicapidae,AVIBASE-C29DEB80,5,2,3,0,4,15.9,9.9,4.6,3.9,17.7,72.9,10.8,61.3,15,62.6,19,1,Omnivore,Invertivore,Insessorial
Dendrocitta leucogastra,White-bellied Treepie,WBT,WBTR,Passeriformes,,RF,CAN,Corvidae,AVIBASE-C7567600,9,2,7,0,4,34.5,20.9,11.7,14.8,30.7,140.9,19.1,121.4,13.5,282.4,99.2,1,Carnivore,Omnivore,Insessorial
Dryocopus javensis,White-bellied Woodpecker,WBW,WBWO,Piciformes,,RF,CAN,Picidae,AVIBASE-08741518,10,3,4,3,8,56.5,43.4,14.6,12.8,33.7,219.4,49,173.5,22,161,271.4,1,Carnivore,Invertivore,Insessorial
Amaurornis phoenicurus,White-breasted Waterhen,WBWH,WBWA,Gruiformes,,OC,AQU,Rallidae,AVIBASE-F53518E3,5,2,3,0,4,37.1,18.6,4.4,8.8,50.8,147,33.7,111.5,23.2,57.6,180,1,Carnivore,Aquatic predator,Terrestrial
Psilopogon viridis,White-cheeked Barbet,WCB,WCBA,Piciformes,,RF,CAN,Megalaimidae,AVIBASE-EAE4A304,5,2,3,0,4,25.2,18.3,8.6,11.5,26.2,104.2,21.8,83.5,20.7,63,80.5,1,Herbivore,Frugivore,Insessorial
Lonchura striata,White-rumped Munia,WRM,WRMU,Passeriformes,,OC,UND,Estrildidae,AVIBASE-22BE6FC5,13,8,5,0,12,12,8.3,6.7,7.8,13.1,50.7,10.6,40.1,20.9,39.8,12.3,1,Herbivore,Granivore,Insessorial
Halcyon smyrnensis,White-throated Kingfisher,WTK,WTKI,Coraciiformes,,OC,AQU,Alcedinidae,AVIBASE-B30B6781,10,2,7,1,10,59.8,48.4,13.7,14.3,15,113.2,24.5,88.7,21.7,78.3,91.4,2,Carnivore,Omnivore,Insessorial
Iole indica,Yellow-browed Bulbul,YBB,YBBU,Passeriformes,,RF,MID,Pycnonotidae,AVIBASE-36D71C61,13,8,5,0,12,20.1,12,4.8,4.9,18.2,88.2,13.7,73.9,15.7,80.8,30.6,1,Herbivore,Omnivore,Insessorial
Chrysomma sinense,Yellow-eyed Babbler,YEB,YEBA,Passeriformes,,OC,UND,Sylviidae,AVIBASE-0C0CEF5B,13,10,3,0,12,13.8,8.7,3.7,5.3,25.3,65.1,6.3,58.8,9.6,81.8,17.2,1,Carnivore,Invertivore,Insessorial
