"filename","restoration_type","eBird_codes","bout","song","call","begin_time_in_s","end_time_in_s","low_freq_in_Hz","high_freq_in_Hz","peak_freq_in_Hz","center_freq_in_Hz","delta_freq_in_Hz","BW_90_in_Hz","delta_time_in_s","dur_90_in_s","min_amp","max_amp","peak_amp"
"UPMAP1B_20201211_182000_01-10.wav","Benchmark","GENI","bout 1",0,1,2.33039716,3.36682716,1127.5,2536.9,2156.25,2156.25,1409.396,1031.25,1.0364,0.7893,-4642,4786,4786
"UPMAP1B_20201211_182000_01-10.wav","Benchmark","GENI","bout 2",0,1,8.49872601,9.51003044,1167.8,2536.9,2250,2062.5,1369.128,1031.25,1.0113,0.8107,-7498,8427,8427
"OLV208U_20201130_094000_180-190.wav","Passive","TLWA","bout 1",0,1,2.606778489,2.700999398,3382.6,5798.7,5437.5,5156.25,2416.107,2062.5,0.0942,0.08,-3555,3621,3621
"OLV208U_20201130_094000_180-190.wav","Passive","TLWA","bout 2",0,1,6.444710192,6.526368313,3745,6120.8,5906.25,5625,2375.839,1875,0.0817,0.0587,-2997,3099,3099
"OLV208U_20201130_094000_180-190.wav","Passive","TLWA","bout 3",0,1,7.864305224,7.945963345,3624.2,5879.2,5718.75,5531.25,2255.034,1875,0.0817,0.0587,-639,773,773
"OLV208U_20201130_094000_190-200.wav","Passive","TLWA","bout 1",0,1,0.238692970000001,0.301506910000001,3302,5959.7,5812.5,5718.75,2657.718,2156.25,0.0628,0.048,-748,707,748
"OLV208U_20201130_094000_190-200.wav","Passive","TLWA","bout 2",0,1,1.96607631,2.04145303,3865.8,6080.5,5812.5,5625,2214.765,1687.5,0.0754,0.064,-923,830,923
"OLV208U_20201130_094000_190-200.wav","Passive","TLWA","bout 3",0,1,2.43718085,2.49999479,4429.5,6080.5,5906.25,5625,1651.007,1312.5,0.0628,0.0533,-628,488,628
"OLV208U_20201130_094000_190-200.wav","Passive","TLWA","bout 4",0,1,5.27637092,5.35802904,3946.3,6040.3,5812.5,5718.75,2093.96,1687.5,0.0817,0.0587,-694,685,694
"OLV208U_20201130_094000_190-200.wav","Passive","TLWA","bout 5",0,1,8.85048407,8.90073523,4228.2,6322.1,6187.5,5718.75,2093.96,1500,0.0503,0.0373,-721,632,721
