site_id,common_name,density
INOA03R,Vernal Hanging-Parrot,0.133462741
IPTO04R,Vernal Hanging-Parrot,0.04448758
IPTO04U,Vernal Hanging-Parrot,0
IPTO06R,Vernal Hanging-Parrot,0.133462741
IPTO06U,Vernal Hanging-Parrot,0.311413061
OLCAP2B,Vernal Hanging-Parrot,0.444875802
OLCAP3B,Vernal Hanging-Parrot,0.266925481
OLV110R,Vernal Hanging-Parrot,0.266925481
OLV110U,Vernal Hanging-Parrot,0.222437901
OLV208R,Vernal Hanging-Parrot,0.311413061
OLV208U,Vernal Hanging-Parrot,0.08897516
PANMP1B,Vernal Hanging-Parrot,0.355900642
PANMP2B,Vernal Hanging-Parrot,0.355900642
PANMP3B,Vernal Hanging-Parrot,0.355900642
SEL107R,Vernal Hanging-Parrot,0.266925481
SEL107U,Vernal Hanging-Parrot,0.266925481
SEL207R,Vernal Hanging-Parrot,0.444875802
SEL207U,Vernal Hanging-Parrot,0.400388222
STIN02R,Vernal Hanging-Parrot,0.133462741
STIN02U,Vernal Hanging-Parrot,0.04448758
THEN10U,Vernal Hanging-Parrot,0.311413061
UPMAP1B,Vernal Hanging-Parrot,0.311413061
UPMAP3B,Vernal Hanging-Parrot,0.355900642
UPMAP4B,Vernal Hanging-Parrot,0.444875802
UPMAP5B,Vernal Hanging-Parrot,0.444875802
UPMAP6B,Vernal Hanging-Parrot,0.311413061
VAR210R,Vernal Hanging-Parrot,0.177950321
VAR310R,Vernal Hanging-Parrot,0.400388222
VAR310U,Vernal Hanging-Parrot,0.400388222
VAR410R,Vernal Hanging-Parrot,0.533850963
VAR410U,Vernal Hanging-Parrot,0.311413061
HP36P1B,Yellow-browed Bulbul,0.158112327
HP36P3B,Yellow-browed Bulbul,0.142301094
HP36P4B,Yellow-browed Bulbul,0.126489861
HP37P1B,Yellow-browed Bulbul,0.094867396
HP37P2B,Yellow-browed Bulbul,0.142301094
HP37P4B,Yellow-browed Bulbul,0.094867396
HP4008R,Yellow-browed Bulbul,0.094867396
HP4008U,Yellow-browed Bulbul,0.079056163
INBS04R,Yellow-browed Bulbul,0.142301094
INBS04U,Yellow-browed Bulbul,0.063244931
INME03R,Yellow-browed Bulbul,0.079056163
INME03U,Yellow-browed Bulbul,0.063244931
INOA03R,Yellow-browed Bulbul,0.079056163
IPTO04R,Yellow-browed Bulbul,0.079056163
IPTO04U,Yellow-browed Bulbul,0.079056163
IPTO06R,Yellow-browed Bulbul,0.126489861
IPTO06U,Yellow-browed Bulbul,0.094867396
OLCAP2B,Yellow-browed Bulbul,0.126489861
OLCAP3B,Yellow-browed Bulbul,0.110678629
OLV110R,Yellow-browed Bulbul,0.110678629
OLV110U,Yellow-browed Bulbul,0.063244931
OLV208R,Yellow-browed Bulbul,0.094867396
OLV208U,Yellow-browed Bulbul,0.047433698
PANMP1B,Yellow-browed Bulbul,0.110678629
